,data,flag
37,"sharks down kings to take 3-1 series lead ryane clowe scored two goals, jason demers added another in the second period and the san jose sharks beat the los angeles kings 6-3 on thursday ...",0
38,mcilroy surges four clear at masters britain's rory mcilroy kept his swing and nerves under control at the masters on saturday to open a commanding four-shot lead after an absorbing third round as his main challengers all fell back.,0
39,"marty marion, cardinals's slick-fielding shortstop, dies at 93 mr. marion, known as the octopus for his long arms and ability to gobble up ground balls, was an all-star every season from 1943 to 1950.",0
40,no big moves during short day at the players championship nick watney and graeme mcdowell were atop the leaderboard after a short day of work saturday in the players championship. the winner of golf's ...,0
41,"yankees to stop hand signals after mlb inquiry keith olbermann had put a photo on twitter of brett weber, a yankees baseball operations coaching assistant, holding up four fingers toward the field during thursday's game against the detroit tigers.",0
42,usc's pat haden will talk about alcohol with coach kevin o'neill now that southern california has been bounced from the ncaa tournament trojans coach kevin o'neill is headed for a serious conversation about ...,0
43,rome suspended as league vows to clean up cup finals aaron rome was given the longest suspension in cup finals history after his hit in game 3 left the bruins' nathan horton with a severe concussion.,0
44,tampa bay strikes lightning fast in game 1 win over boston the lightning scored three goals in 1:25 in the first period to propel tampa bay to a 5-2 win over boston in game 1 of the eastern conference ...,0
45,"photo replay: march 11 a look at the day in sports, from street hockey at the white house to cricket in bangladesh.",0
46,"an early celebration leaves the heat with a game 2 hangover the clock showed 7:14 when dwyane wade hit a 3 that pushed miami's lead to 15 points. after lebron james and wade danced, the mavericks went on a 22-5 run.",0
47,"ap: rivers, celtics working on deal; hope to keep core intact the boston celtics have all their key players signed for next season, and coach doc rivers seems ready to return as well.",0
48,espn issues new rules for announcers the sports network is trying to limit endorsements that would create the appearance of a conflict of interest.,0
49,usc 'vehemently' disagrees with ncaa's rejection of appeal southern california reacted strongly one day after being notified its appeal of penalties handed out its football program was rejected by the ...,0
50,letters to the editor readers sound off on the latest headlines.,0
51,"stars down ducks to snap nhl losing streak the dallas stars snapped a six-game losing streak with a controversial 4-3 road win over the anaheim ducks sunday, keeping their slim hopes of a playoff place alive.",0
52,"2011 baseball preview: meet 30-down: wilson is answer for the giants giants closer brian wilson has an interest in crossword puzzles, and now he and the leader of the beach boys are an answer in one.",0
53,phillies and red sox top list of world series contenders the philadelphia phillies re-armed in hopes of toppling the champion san francisco giants and the boston red sox beefed up their lineup for a title run in the 2011 major league baseball season that starts thursday.,0
54,"basketball world pays homage after ""shaq"" quits shaquille o'neal, one of the most successful and recognizable players in professional basketball, announced his retirement on wednesday, ending a career that spanned almost two decades and helped increase the popularity of the sport outside the united states.",0
55,"jimmer lite? florida's walker 'fearless' when it's crunch time in thursday night's brigham young-florida southeast regional semifinal, keep an eye out for the game-changing guard likely to make a big shot ...",0
56,long bomber johnson ready for korean dust-up american dustin johnson has promised to dazzle south korean crowds with finesse as well as his jaw-dropping length off the tee at this week's co-sanctioned ballantine's championship.,0
57,"byu's brandon davies plans on playing for cougars next season brigham young forward brandon davies, who was suspended on march 1 for violating the school's honor code, plans to return next year to play for ...",0
58,"role players help the lightning strike twice in playoff series the surprise team of the stanley cup playoffs, the tampa bay lightning, advanced to the semifinal stage of the tournament last week by sweeping the top-seeded, glamorous washington capitals, an outcome few had predicted.",0
59,"former mets officer weighs a bid paul danforth, who spent 13 years with the team as a sales executive, holds a senior post at the c.a.a. sports agency division.",0
60,"daniel murphy says mets shooting for 100 wins after an eventful two innings of work, daniel murphy expresses the mets' self confidence.",0
61,"in the majors, young players are still teething at the plate the 42 players who made their major league debuts in march and april have been putting up abysmal numbers at the plate.",0
62,testing times for tiger woods on augusta's tricky greens the body language said it all as tiger woods wasted a good driving display with woeful putting to slide out of contention at the masters in saturday's third round.,0
63,"slumping gardner gets the night off brett gardner, the yankees' struggling leadoff hitter, was not in the starting lineup for wednesday's game in toronto.",0
64,erik spoelstra vows heat will rebound from late slump miami heat coach erik spoelstra described thursday's dramatic 95-93 defeat to the dallas mavericks in game two of the nba finals as one of the toughest losses he has had to endure.,0
65,sharks beat red wings in ot to take game 1 little-used benn ferriero scored 7:03 into overtime of his playoff debut on a deflected goal that gave the san jose sharks a 2-1 victory over ...,0
66,"war veterans show games can play important part in recovery nearly 200 men and women from all military branches competed last week in the second annual warrior games, held in colorado springs. the games, ...",0
67,"sugar ray leonard says olympic coach sexually abused him as a kid former boxing champion sugar ray leonard says in a new autobiography that he was sexually abused as a teenager by an unnamed olympic boxing coach, ...",0
68,rose denies comments on performance-enhancing drugs the chicago point guard had been quoted by espn the magazine as saying performance-enhancing drugs had a high influence in the n.b.a.,0
69,"cink, henry lead texas open after na's historic meltdown j.j. henry and former british open champion stewart cink share the texas open lead after shooting first-round 5-under 67s on a day the spotlight ...",0
70,"kentucky's john calipari accepts offer to coach dominican national team kentucky men's basketball coach john calipari has accepted an offer to coach the dominican republic's national team, the coach announced on his ...",0
71,knicks president walsh out; thomas talk will intensify new york knicks president donnie walsh says he is leaving after he could not work out a contract renewal to his liking with madison square garden ...,0
72,"the rail: morning line: animal kingdom's outspoken owner morning line for friday, may 13",0
73,"lakers coach jackson bids farewell after playoff exit phil jackson, the most successful coach in nba history, walked gingerly off the court for what is likely to be the final time following the los angeles lakers' season-ending loss to the dallas mavericks on sunday.",0
74,heat's defense smothering celtics in playoff series everyone loves to see replays of miami heat guard dwayne wade's nifty euro step past confused boston celtics forward kevin garnett for a layup ...,0
75,nfl turns players' words against them in appeal to extend lockout the nfl blasted the idea that only players suffer harm during a lockout and tried to use some lockout-mitigating words of some players against ...,0
76,giambi takes his chance to fuel rockies win little-used jason giambi clobbered three homers and drove in seven runs to power the colorado rockies to a 7-1 win over the philadelphia phillies in a battle of division leaders on thursday.,0
77,"kenya begins investigation into wanjiru's death kenyan authorities began an investigation tuesday into samuel wanjiru's death in a balcony fall, while the olympic marathon champion's mother accused his wife of killing him to gain control of his property.",0
78,fantasy focus: closers in waiting when major league closers falter - and it always happens - these relievers could step in and gain sudden value for your fantasy team.,0
79,directv won't charge for nfl sunday ticket until lockout ends fans who consume the nfl at home on directv are getting a benefit that many fans who attend games each week aren't: they don't have to pay up ...,0
80,"big ten considering starting league basketball games earlier for most of the high-major conferences, league play in men's basketball opens around christmas or new year's eve.",0
81,"mack leads the charge to help butler get back to final four kentucky fans, were you watching? if so, it might end up being painful ... again. shelvin mack grew up in lexington. he was a fan of the wildcats. ...",0
82,bengals owner on chad ochocinco: 'we want a football player' cincinnati bengals owner mike brown took notice when wr chad ochocinco hopped on a bull earlier this month.,0
83,"for schiavone, taste of limelight has lingered francesca schiavone needed only 62 minutes to dispatch the american melanie oudin, 6-2, 6-0, at the french open.",0
84,2010 st. louis rams: what the film revealed the rams have a lot of reasons to be giddy about sam bradford.,0
85,"get your quarterbacks here an odd n.f.l. off-season produces a run on quarterbacks at the draft, the debate over cam newton rages on, and the lakers dispose of the pesky hornets.",0
86,"duke adjusts to life with irving kyrie irving's return meant more shuffling for duke coach mike krzyzewski, but he considers that a good problem, not a hindrance",0
87,"shields helps rays finish strong road trip, beats indians james shields pitched seven strong innings to finally beat cleveland, and the tampa bay rays did some more road repair to their record with a ...",0
88,n.b.a. roundup: defensive display by wade ignites heat dwyane wade?s dazzling 55-second stretch shortly after tip-off was part of 11 blocks for miami as the heat held memphis to 39 percent shooting to win its second straight game.,0
89,"southwest: purdue 65, st. peters 43: moore, johnson lead purdue past st. peter's e'twaun moore scored 19 points and jujuan johnson added 16 with 16 rebounds friday night as third-seeded purdue routed st. peter's 65-43.",0
90,2010 steelers: what the film revealed ben roethlisberger was the key to the steelers' success. he and michael vick are the league's only quarterbacks who can consistently succeed when plays collapse.,0
91,"djokovic sinks nadal in thrilling miami final in an epic final, novak djokovic defeated world number one rafa nadal in a third set tiebreak to win the sony ericsson open 4-6 6-3 7-6 on sunday.",0
92,"lightning, bruins ready for business after long layoff when the boston bruins and tampa bay lightning meet in game 1 of the eastern conference finals, players might feel as if it is the first day ...",0
93,"bulls win 7th in a row to stand alone atop east derrick rose scored 23 points in chicago's seventh straight win, a 98-79 victory over the washington wizards on tuesday night that moved the ...",0
94,mets' top pick wants to put wyoming on the baseball map brandon nimmo caught the attention of scouts and executives with his stellar play at some all-star contests.,0
95,celtics too much for slumping spurs the boston celtics finally got a big win and their big man back. they may also reclaim the no. 1 seed in the eastern conference.,0
96,"giants' pablo sandoval out 4-6 weeks with broken wrist san francisco giants third baseman pablo sandoval broke a bone in his right wrist and is expected to miss four to six weeks, adding to the concerns ...",0
97,"venus williams pulls out of french open: wta venus williams has joined her sister serena in withdrawing from the french open because of injury, the wta said on saturday.",0
98,"gary blair engineers women's hoops revival at texas a&amp;m texas a&amp;m women's basketball fans occupied every seat and then some at dick's last resort, near american airlines center, as tuesday night ...",0
99,"antagonists abound in the initial plot line twelve penalties were called wednesday, when the boston bruins and the vancouver canucks met for only the second time this season.",0
100,hines ward earns a spot in dancing with the stars finals hines ward has danced his way into the finals. the pittsburgh steelers receiver earned a berth in the finals of dancing with the stars with an ...,0
101,"live nba blog: heat's big 3 overpower celts, 102-91 we're live blogging game 2 of the heat-celtics playoff tonight. weigh in with comments about the game. and cast a vote on our quick question ...",0
102,von miller will be in court to sue nfl and will attend nfl draft von miller figures to see roger goodell on opposite ends of the nfl's spectrum in april.,0
103,"fan claims foul words, acts by braves coach mcdowell atlanta pitching coach roger mcdowell issued an apology wednesday in response to a fan's complaint that mcdowell spewed homophobic comments, ...",0
104,nuggets clinch eighth straight playoff berth in win over lakers the denver nuggets clinched a playoff berth on sunday with a 95-90 victory over the defending nba champion los angeles lakers.,0
105,tiger woods' charge fades as questions persist tiger woods roared through the front nine of the final round of the masters early sunday afternoon as if he were going to do what he had done ...,0
106,"under a microscope, jeter has a powerless start in his 17th and most scrutinized season with the yankees, derek jeter has gotten off to a slow start.",0
107,"magic's howard named defensive player of year dwight howard was named the nba's defensive player of the year monday, making the dominant orlando magic center the first player to win the award in three consecutive seasons.",0
108,"knicks expect billups in lineup on sunday chauncey billups, who was out six games with a deep bruise in his left thigh, practiced saturday for the first time in two weeks.",0
109,"brett gardner, not derek jeter, to lead off in yankees opener if it's good enough for $126 million man jayson werth, batting second should be just fine with derek jeter.",0
110,"yankees salvage one win in seattle behind sabathia cc sabathia allowed one run in eight innings, andruw jones lined a bases-clearing double to highlight the yankees' five-run third inning, and ...",0
111,"yankees 5, rangers 2: savvy start by garcia helps yanks fill a void freddy garcia, who won the no. 5 starter's job out of spring training, dazzled with his ability to keep texas hitters off-balance, giving the yankees some much-needed positive news.",0
112,"sharks 2, red wings 1 : sharks slip past red wings in overtime benn ferriero scored in his playoff debut on a deflected goal that gave the san jose sharks a victory over the red wings on friday night in game 1.",0
113,"three defensive up-and-comers breakout offensive stars typically get their fair share of media attention, but here's a look at some of the league's top young, emerging defenders.",0
114,"on soccer: no messi means no chance for arsenal the barcelona great once again showed how he is in a class of his own in his team's 3-1 victory tuesday, which sent it to the next round of the champions league soccer tournament.",0
115,reggie bush enjoying lockout: right now we'd be 'slaving' away 'for nothing' new orleans saints running back reggie bush set off fan backlash monday evening with a pair of tweets that appeared to undermine the players' ...,0
116,"lakers to work with glaad on fighting gay slurs going into the nba playoffs this weekend, the los angeles lakers have landed a new partner.",0
117,"nadal struggles, djokovic's streak rolls on in rome rafael nadal struggled past 148th-ranked qualifier paolo lorenzi 6-7 (5-7), 6-4, 6-0 in his opening match at the italian open on wednesday, looking ...",0
118,gonzaga hopes to be chic women's underdog everybody is loving the unexpected deep runs of virginia commonwealth and butler on the men's side. can gonzaga become the cinderella of the women's tournament?,0
119,"lightning beat capitals, take commanding 3-0 lead steven stamkos and ryan malone scored 24 seconds apart in the third period and the streaking tampa bay lightning beat washington 4-3 to push ...",0
120,previews: breaking down saturday's third-round tilts takes an in-depth look at all eight ncaa tournament games scheduled for saturday.,0
121,"rose, james and howard headline all-nba selections most valuable player derrick rose of the chicago bulls and lebron james of the miami heat, winner of the two previous mvp awards, were selected for this season's all-nba team, the league said on thursday.",0
122,"kyle busch wins a wild one at talladega kyle busch won under a yellow flag in a wild finish saturday, taking the nationwide race at talladega superspeedway when the last of 10 crashes sent mike wallace's car flipping upside down.",0
123,"bobcats 114, knicks 106: anthony's high point can't raise the knicks carmelo anthony scored 36 points, his most as a knick, but it was not enough to help the knicks climb out of a big early hole.",0
124,"texas a&m 63, stanford 62: texas a&m rallies to upset stanford tyra white's layup with 3.3 seconds left sealed the victory for the aggies, as texas a&m advanced to its first national title game.",0
125,"wisconsin survives pullen's big night, tops kansas state 70-65 jordan taylor hit two big free throws and blocked jacob pullen's three-point attempt in the closing seconds to overcome a rough shooting night, ...",0
126,nfl reimposes lockout on players after favorable court ruling the nfl's foray back into football operations lasted only one day. the eighth circuit court of appeals approved the nfl's request for a temporary ...,0
127,"tiger woods' niece cheyenne creating golf identity of her own when cheyenne woods was 2, she plucked a club from a bag, like a sword from a stone, and whacked a golf ball into the netting in her grandfather's ...",0
128,an appraisal: ballesteros 'could get up and down out of a garbage can' the reality of the death of the great golf champion seve ballesteros in spain at the age of 54 dawned on the quail hollow club on saturday morning.,0
129,"on baseball: red sox put on their rally caps for jeter derek jeter has his fans in the boston clubhouse, where red sox hitters have firsthand knowledge about slow starts.",0
130,uncle mo is a go for kentucky derby uncle mo is ready for the kentucky derby.,0
131,"scenarios: what it would mean if bruins win, if lightning win the boston bruins are hosting the tampa bay lightning friday night (8 et, versus) in game 7 of the eastern conference finals. the winner would ...",0
132,"big east replay: march 11 images from the semifinals of the big east basketball tournament at madison square garden, featuring uconn vs. syracuse and louisville against notre dame.",0
133,marquis pitches nationals past giants jason marquis outduelled tim lincecum to pitch the washington nationals to a 3-0 win over the san francisco giants at nationals park on friday.,0
134,thumb injury lands rockies ace ubaldo jimenez on disabled list colorado rockies ace ubaldo jimenez was placed on the 15-disabled list with a right thumb injury. his placement on the dl is retro-active to ...,0
135,brewers' erick almonte first player on concussion dl brewers utility man erick almonte went home to sleep under supervision after becoming the first major leaguer placed on the new seven-day disabled ...,0
136,"keeping score: posada put off decline for years as jorge posada struggles on the field and off, it is increasingly difficult to maintain perspective about his career and appreciate the player he once was.",0
137,woods's tantalizing surge comes up short on the back nine errant putts on 12 and 15 stood out as tiger woods's crucial errors in a fourth-place finish at the masters.,0
138,"barry bonds found guilty of obstruction of justice barry bonds was convicted of obstruction of justice today, but a jury of eight women and four men could not render a verdict on three counts ...",0
139,"on basketball: with timely play, kidd puts finals up for grabs jason kidd did not score in game 4, but his defense on lebron james and on dwyane wade at a key moment was the difference between winning and losing.",0
140,"another big night for derrick rose carries bulls past pesky pacers derrick rose scored 36 points, carlos boozer added 17 points and 16 rebounds, and the top-seeded chicago bulls pulled out another dramatic victory ...",0
141,"charles barkley takes issue with ncaa selection committee as many college basketball fans -- including those in richmond, of course -- call out television analysts like dick vitale and jay bilas for ...",0
142,"boston's beckett dominates yankees, red sox win 4-0 boston starter josh beckett looked back to his best on sunday, delivering a dominant two-hitter performance to lead the red sox to a 4-0 victory over bitter rivals the new york yankees.",0
143,heat rises over bulls to reach nba finals the miami heat star players cast off their struggles and staged a furious finish to beat the chicago bulls 83-80 on thursday and advance to the nba finals.,0
144,"nba mvp smelling like rose, but others have case, too the nba mvp race looks cut and dry. chicago bulls point guard derrick rose is the winner, right? it's not that easy.",0
145,"photo replay: may 5 a view of the day in sports, with race horses in louisville, wrestling in times square and golf out of the water in athens, ga.",0
146,"golden oldie watson wins senior pga title in playoff a decade after winning his first senior pga championship, tom watson won the title for a second time with a playoff victory over fellow american david eger in louisville, kentucky on sunday.",0
147,"phillies 11, mets 0: halladay earns first win as phillies rout mets roy halladay pitched seven sharp innings for his first win of the season, wilson valdez had a career-high four hits, as the philadelphia phillies beat the mets on thursday.",0
148,"handzus' last-minute goal lifts kings over stars with the game seemingly headed for overtime, michal handzus carved out space in front of the net and grabbed a critical two points for the los ...",0
149,westwood and mcilroy draw criticism for skipping players decisions by world number one lee westwood and briton rory mcilroy to skip this week's players championship at the tpc sawgrass have drawn stinging criticism from american sports commentators.,0
150,"rangers 5, penguins 2 | n.h.l. roundup: devils end two-game slide in columbus martin brodeur earned his 115th shutout during the devils' victory on sunday.",0
151,"eye-opener: have you changed your mind on the miami heat? the miami heat began the season as the most loathed team in basketball. the heatles, the pronouncement of multiple titles, ""the decision"" and ...",0
152,"rex ryan belittles giants as he begins book tour now that it's time for rex ryan to promote his new book, expect a fresh wave of bold assertions and predictions from the new york jets coach ...",0
153,"li na ousts maria sharapova, reaches french open final li na beat maria sharapova 6-4, 7-5 thursday to become the first chinese player to reach the french open final. sharapova was bidding to complete ...",0
154,"uconn 76, syracuse 71, ot: everything falls in line for walker and uconn kemba walker broke the big east tournament scoring record as the huskies won their fourth game in four days.",0
155,a point guard develops for tar heels the freshman kendall marshall has proved to be a quick study since taking over the starting role in mid-january.,0
156,"fa cup: manchester city wins, will face rival united next manchester city set up an fa cup semifinal against fierce rival manchester united thanks to micah richards' second-half winner in a 1-0 victory ...",0
157,ando lifts japanese spirits after striking gold it took japan's miki ando just four minutes to boost the spirits of her devastated nation after she unexpectedly glided to gold at the world figure skating championships.,0
158,"ugh! penn state beats no. 13 wisconsin 36-33 in one of the ugliest games of the college basketball season, talor battle scored nine points to lead penn state past no. 13 wisconsin 36-33 ...",0
159,"redskins' haynesworth charged in fondling incident washington redskins football player albert haynesworth was indicted by a grand jury on tuesday for allegedly fondling a server at a swanky hotel bar in the u.s. capital, u.s. prosecutors said.",0
160,"first pitch: reeling marlins lose to braves in 10th, fire coach in florida where the marlins' losing streak reached seven games wednesday night, hitting coach john mallee took the fall. following the 3-2, ...",0
161,"inside information using x-ray scanners ge healthcare unveiled two x-ray body scanners at bay hill that break down the amount of lean mass on the arms, trunk, legs and total body of golfers.",0
162,hines ward on rashard mendenhall: 'that wasn't a good opinion' pittsburgh steelers wr hines ward has become the latest member of the organization to scold rb rashard mendenhall over his controversial comments ...,0
163,"cubs plan to cut pitcher carlos silva, owed $11.5 million chicago cubs right-hander carlos silva has been told he will not be on the team's 25-man roster when the season starts friday.",0
164,"jack morris talks about his place in history jack morris, who authored one of baseball's greatest pitching performances to close the 1991 world series, talks about his hall of fame chances and his legacy.",0
165,lawyer: no issues with tv reporter bringing mark ingram to tears at draft the attorney for the imprisoned father of new orleans saints rb mark ingram does not blame espn reporter suzy kolber for the rookie's on-stage ...,0
166,game on: the column. nba plays both sides bloggers tom weir and reid cherner are trying to avoid being upset as no. 1 seeds.,0
167,"jamal  coombs-mcdaniel plans to transfer from connecticut jamal coombs-mcdaniel, a swingman on connecticut's national championship basketball team, has had his initial court appearance on marijuana charges ...",0
168,"playing the 'right' way in m.l.s. this season's mantra among the red bulls' players and coaches is to ""play the right way."" is that an appropriate goal in m.l.s.?",0
169,"rutgers 76, seton hall 70, ot: not pretty, but rutgers outlasts seton hall with a gritty and inartistic performance typical of the season under its new coach, mike rice, the 12th-seeded scarlet knights won in the first round of the big east tournament.",0
170,"williams may be done, but assists streak continues deron williams may be out for the season, but in his short time with the nets he was able to preserve his streak of seasons in which he averaged 10 or more assists a game.",0
171,"oxford beats cambridge in annual boat race oxford won the annual university boat race on saturday, upsetting defending champion cambridge by about four lengths on the river thames in a competition dating to 1829.",0
172,"sports of the times: burress will soon be free to redefine himself with plaxico burress's release from prison on monday, the immediate questions focus on where, and how successfully, he will resume his n.f.l. career.",0
173,"analysis: nadal shows why he is the king of clay the reports of rafael nadal's demise are exaggerated, as he showed in wednesday's straight-sets dismissal of robin soderling.",0
174,"new police presence is hard to miss amid dodger blue after an assault outside dodger stadium left a giants fan in a coma, team officials and the los angeles police chief delivered on their promise of a 'sea of blue' response.",0
175,djokovic and lopez reach serbia open final top seed novak djokovic reached the serbia open final without hitting a ball on saturday after fellow serb janko tipsarevic pulled out of their semi-final with a thigh injury.,0
176,pirates take ucla pitcher cole with first pick of draft hard-throwing pitcher gerrit cole of ucla was taken by the pittsburgh pirates as top pick of major league baseball's first-year player draft monday.,0
177,"braves' luis salazar returns to camp after losing eye atlanta braves minor-league manager luis salazar has returned to camp, two weeks after being struck in the face by a foul ball and losing his ...",0
178,lincicome and lewis set red-hot pace at nabisco searing heat posed few problems for brittany lincicome as she charged into a share of the first-round lead with fellow american stacy lewis at the kraft nabisco championship on thursday.,0
179,"ncaa tournament delivers highest tv ratings in 20 years ncaa coverage on thursday drew an overnight household rating 5.7, meaning 5.7% of usa tv households. that's up 24% from 2010.",0
180,"owners win delay in case, keeping n.f.l. shut the decision is a victory for owners in a legal battle with players, and means the league will remain closed.",0
181,donte' stallworth tweets support for same-sex marriage wide receiver donte' stallworth used his twitter account tuesday morning to back same-sex marriage.,0
182,"on baseball: the giants start over, adjusting to the glare the giants began the defense of their first west coast championship under crisp blue skies at the home of their oldest rivals.",0
183,"miscues cost louisville the chance to play spoiler a few blocks from broadway, louisville has been cast in the role of spoiler recently at the big east tournament. and with connecticut becoming the toast of the town over the past week, the cardinals found themselves a part of a familiar story line.",0
184,"under-fire nfl coaches association head defends stance on thursday, as the number of coaching staffs distancing themselves from the amicus brief filed by the nfl coaches association last week with ...",0
185,"in baltimore, cano hits second to almost none robinson cano took the field saturday with a .376 lifetime average at camden yards, surpassed only by ichiro suzuki's .388.",0
186,"nfl imposes 12 percent pay cut on league employees the nfl has reduced salaries of its employees by 12 percent according to newsday's bob glauber, who added that the slashing of pay would increase ...",0
187,"olympic champion wanjiru dies after fall kenyan olympic marathon champion samuel wanjiru plunged to his death from the first-floor balcony of his home after the athlete's wife found him in bed with another woman, police told reuters.",0
188,"stress-free days in the upper deck the mets' dim chances have relieved the writer of his worries about winning and losing, allowing him to enjoy just being at the park.",0
189,"ohio state investigation now turns attention to terrelle pryor with an investigation still swirling around the ohio state football program and coach jim tressel having resigned, the future of star quarterback ...",0
190,"criminals control large part of world sports, says wada the criminal underworld now controls a large proportion of world sport, world anti-doping agency director general david howman said wednesday.",0
191,"faithful congregation shows signs of optimism, if you can call it that fans at citi field for friday's home opener shared their opinions on the continuing troubles of the mets.",0
192,"cold april for baseball: six stadiums see worst crowds ever baseball is in the throes of its dog days, at least from an attendance standpoint. with poor weather, kids in school and a season's narrative ...",0
193,"alumni group has plan to track brain health of former players with sidney crosby revealing friday that he had to curtail his light skating because of the return of concussion symptoms, the question of head trauma in hockey was thrown back into the spotlight.",0
